"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,17.21,17.21
1902,17.1,17.15
1903,17.05,17.1
1904,17.26,17.05
1905,16.94,17.01
1906,17.02,16.98
1907,16.82,16.95
1908,17.02,16.94
1909,16.91,16.93
1910,16.9,16.92
1911,16.88,16.91
1912,16.89,16.9
1913,16.95,16.88
1914,16.79,16.87
1915,17.01,16.85
1916,16.91,16.84
1917,16.61,16.84
1918,16.77,16.84
1919,16.92,16.86
1920,17.01,16.89
1921,16.99,16.94
1922,16.97,17.01
1923,17.03,17.1
1924,17.43,17.2
1925,16.7,17.3
1926,17.92,17.38
1927,17.37,17.43
1928,17.28,17.43
1929,17.32,17.37
1930,17.53,17.28
1931,17.21,17.19
1932,16.79,17.1
1933,17.31,17.06
1934,16.86,17.07
1935,17.13,17.13
1936,17.03,17.21
1937,17.94,17.31
1938,17.4,17.4
1939,17.03,17.47
1940,17.68,17.52
1941,17.44,17.55
1942,17.62,17.57
1943,17.5,17.6
1944,17.43,17.64
1945,18.21,17.7
1946,17.48,17.77
1947,17.89,17.82
1948,18.02,17.85
1949,17.93,17.83
1950,17.73,17.76
1951,17.2,17.65
1952,17.49,17.52
1953,17.6,17.4
1954,17.14,17.31
1955,18.31,17.27
1956,16.53,17.28
1957,17.1,17.33
1958,17.54,17.4
1959,17.3,17.47
1960,17.37,17.52
1961,18.15,17.55
1962,17.56,17.54
1963,17.2,17.51
1964,17.61,17.46
1965,17.17,17.38
1966,17.27,17.28
1967,17.09,17.18
1968,17.22,17.07
1969,17,16.97
1970,17.39,16.9
1971,16.53,16.85
1972,16.41,16.84
1973,17.07,16.86
1974,17.03,16.9
1975,16.95,16.96
1976,16.83,17.04
1977,17.09,17.12
1978,17.41,17.21
1979,17.28,17.3
1980,17.43,17.4
1981,17.75,17.49
1982,17.44,17.57
1983,17.88,17.65
1984,17.16,17.71
1985,17.82,17.75
1986,17.32,17.77
1987,18.05,17.76
1988,17.69,17.72
1989,18.18,17.68
1990,18.04,17.64
1991,17.3,17.62
1992,17.4,17.63
1993,17.06,17.68
1994,17.93,17.76
1995,18.46,17.86
1996,17.68,17.96
1997,18.35,18.04
1998,18.04,18.1
1999,17.79,18.13
2000,17.98,18.14
2001,18.38,18.14
2002,18.12,18.13
2003,18.31,18.12
2004,17.99,18.11
2005,17.99,18.12
2006,18.35,18.13
2007,17.97,18.15
2008,17.96,18.19
2009,18.49,18.25
2010,18.59,18.31
2011,18.39,18.37
2012,18.25,18.42
2013,18.03,18.45
2014,18.47,18.45
2015,18.59,18.42
2016,18.67,18.39
2017,18.88,18.37
2018,17.71,18.38
2019,18.27,18.44
2020,18.72,18.55
2021,18.51,18.7
2022,19.15,18.88
2023,19.16,19.09
2024,19.18,19.3